100922,SEMI LIGERA BRIK 1 L (6)-11674,"6,98"
100923,ENTERA LIGERA BRIK 1 L (6)-11675,"6,98"
100924,NATUR-FIBRA SEMI 1L (6),"7,97"
100926,"NATA REPOST UHT 35,1% M.G.L (6UD)-12052","21,94"
100927,NATA COCINA 12% 1 L (6UD)-12050,"18,49"
100928,NATA SPRAY 500 (12UD)-12115,"46,80"
100929,QUESO BARRA HOSTELERIA ASTURIANA-14129,"9,86"
100930,"ASTURIANA 0% HOST.1,5 L (6)-11080","10,48"
100933,CACAOLAT 20cl. (24UD),"41,44"
100934,PASTELITO CACAOLAT (10UD),"3,70"
100935,CACAOLAT 1 L (6UD),"12,03"
100942,LETONA SEMI HOSTELERIA 1.5L (6),"12,36"
100944,LETONA GRAN CREME 1.5 (6),"12,64"
100945,PMI NATURAL AZUCARADO (PACK 4) (24UND),"10,42"
100946,PMI FRESA (PACK 4) (24UND),"10,42"
